"country","year","prev_year","name1","party","votes","change","name2","name3","name4","name5","name6","first_cy","r_avg_vote","prev_vote","prev_vote_rel","prev_vote_rel_perc","elec_shock","vote_rel","vote_rel_lag","party_year","party_age","count","name_exp","name_age","dem_age","vote_diff","pedersen","party_id","country_name_short","party_name","party_name_english","left_right","country_id","election_id","election_type","election_date","vote_share","seats","seats_total","previous_parliament_election_id","previous_cabinet_id","enp_votes","enp_seats","disproportionality","advantage_ratio","polarization","calculation_date","gov_total","prime_minister_first","cabinet_party_first","prime_minister_last","cabinet_party_last","prime_minister_avg","cabinet_party_avg","prime_minister_lost","prime_minister_won","cabinet_party_lost","cabinet_party_won","party_name_ascii","family_name_short","family_name","state_market","liberty_authority","eu_anti_pro","cmp","euprofiler","ees","castles_mair","huber_inglehart","ray","benoit_laver","chess","family_id","c_party","enep_lag","es_reform","es_reform_lag","smd","pr","mix","election","cparty"
"Austria",1945,NA,"KPO","KPO",5.4,0,NA,NA,NA,NA,NA,1945,0,0,0,0,0,5.4,0,1945,0,0,0,0,0,5.4,NA,769,"AUT","Kommunistische Partei Österreichs","Communist Party of Austria",0.5,59,402,"parliament","1945-10-25",5.4,4,165,NA,452,2.22301262671172,2.09149573634478,2.64293850986779,1.03444079347694,0.428481217093371,"2012-10-15 12:08:21",2,0,1,0,0,0,0.5,0,0,1,0,"Kommunistische Partei Oesterreichs","com","Communist/Socialist",NA,NA,0,42220,3,1040220,201,NA,1305,NA,NA,14,"AUT.KPO",NA,0,NA,NA,NA,NA,402,"AUT.KPO"
"Austria",1945,NA,"OVP","OVP",49.8,0,NA,NA,NA,NA,NA,1945,0,0,0,0,0,49.8,0,1945,0,0,0,0,0,49.8,NA,1013,"AUT","Österreichische Volkspartei","Austrian People's Party",6.47331868166115,59,402,"parliament","1945-10-25",49.8,85,165,NA,452,2.22301262671172,2.09149573634478,2.64293850986779,1.03444079347694,0.428481217093371,"2012-10-15 12:08:21",2,1,1,1,1,1,1,0,0,0,0,"Oesterreichische Volkspartei","chr","Christian democracy",6.94848679442155,7.61980263157895,8.84508778287653,42520,6,1040520,203,309,1302,4847,1302,3,"AUT.OVP",NA,0,NA,NA,NA,NA,402,"AUT.OVP"
"Austria",1945,NA,"SPO","SPO",44.6,0,NA,NA,NA,NA,NA,1945,0,0,0,0,0,44.6,0,1945,0,0,0,0,0,44.6,NA,973,"AUT","Sozialdemokratische Partei Österreichs","Social Democratic Party of Austria",3.72926900584795,59,402,"parliament","1945-10-25",44.6,76,165,NA,452,2.22301262671172,2.09149573634478,2.64293850986779,1.03444079347694,0.428481217093371,"2012-10-15 12:08:21",2,0,1,0,1,0,1,0,0,0,0,"Sozialdemokratische Partei Oesterreichs","soc","Social democracy",3.47276311021102,3.47657894736842,8.44947368588364,42320,11,1040320,202,308,1301,4865,1301,11,"AUT.SPO",NA,0,NA,NA,NA,NA,402,"AUT.SPO"
"Austria",1949,1945,"FPO","FPO (VdU)",11.7,0,"VdU",NA,NA,NA,NA,1945,0,0,0,0,0,11.7,0,1949,0,0,0,0,4,11.7,49.9,1818,"AUT","Verband der Unabhängigen","Federation of Independents",6.8,59,67,"parliament","1949-10-09",11.7,16,165,402,884,2.78035083801442,2.54463033928405,3.09179188225192,1.06060606060606,0.385238231562971,"2012-10-15 12:08:21",2,0,0,0,0,0,0,0,0,0,0,"Verband der Unabhaengigen","right","Right-wing",NA,NA,NA,42420,NA,NA,204,NA,NA,NA,NA,40,"AUT.FPO",2.22301262671172,0,NA,0,1,0,67,"AUT.FPO"
"Austria",1949,1945,"KPO","KPO",5.1,0,NA,NA,NA,NA,NA,1945,5.4,5.4,0,0,0,-0.300000000000001,5.4,1945,4,0,1,4,4,0.300000000000001,49.9,1764,"AUT","Kommunisten und Linkssozialisten","Communists and Left Socialists",0.5,59,67,"parliament","1949-10-09",5.1,5,165,402,884,2.78035083801442,2.54463033928405,3.09179188225192,1.06060606060606,0.385238231562971,"2012-10-15 12:08:21",2,0,0,0,0,0,0,0,0,0,0,"Kommunisten und Linkssozialisten","all","electoral alliance",NA,NA,NA,42220,NA,NA,201,NA,NA,NA,NA,27,"AUT.KPO",2.22301262671172,0,NA,0,1,0,67,"AUT.KPO"
"Austria",1949,1945,"SPO","SPO",38.7,0,NA,NA,NA,NA,NA,1945,44.6,44.6,0,0,0,-5.9,44.6,1945,4,0,1,4,4,5.9,49.9,973,"AUT","Sozialdemokratische Partei Österreichs","Social Democratic Party of Austria",3.72926900584795,59,67,"parliament","1949-10-09",38.7,67,165,402,884,2.78035083801442,2.54463033928405,3.09179188225192,1.06060606060606,0.385238231562971,"2012-10-15 12:08:21",2,0,1,0,1,0,1,0,0,0,0,"Sozialdemokratische Partei Oesterreichs","soc","Social democracy",3.47276311021102,3.47657894736842,8.44947368588364,42320,11,1040320,202,308,1301,4865,1301,11,"AUT.SPO",2.22301262671172,0,NA,0,1,0,67,"AUT.SPO"
"Austria",1949,1945,"OVP","OVP",44,0,NA,NA,NA,NA,NA,1945,49.8,49.8,0,0,0,-5.8,49.8,1945,4,0,1,4,4,5.8,49.9,1013,"AUT","Österreichische Volkspartei","Austrian People's Party",6.47331868166115,59,67,"parliament","1949-10-09",44,77,165,402,884,2.78035083801442,2.54463033928405,3.09179188225192,1.06060606060606,0.385238231562971,"2012-10-15 12:08:21",2,1,1,1,1,1,1,0,0,0,0,"Oesterreichische Volkspartei","chr","Christian democracy",6.94848679442155,7.61980263157895,8.84508778287653,42520,6,1040520,203,309,1302,4847,1302,3,"AUT.OVP",2.22301262671172,0,NA,0,1,0,67,"AUT.OVP"
"Austria",1953,1949,"KPO","KPO",5.3,0,NA,NA,NA,NA,NA,1945,5.2,5.1,-0.100000000000001,-0.0192307692307693,0.0192307692307693,0.0999999999999996,-0.300000000000001,1945,8,0,2,8,8,0.2,11.85,1764,"AUT","Kommunisten und Linkssozialisten","Communists and Left Socialists",0.5,59,11,"parliament","1953-02-22",5.3,4,165,67,560,2.75860782883523,2.48199471237123,3.5685156570331,1.08591972998753,0.366839643871953,"2012-10-15 12:08:21",1,0,0,0,0,0,0,0,0,0,0,"Kommunisten und Linkssozialisten","all","electoral alliance",NA,NA,NA,42220,NA,NA,201,NA,NA,NA,NA,27,"AUT.KPO",2.78035083801442,0,0,0,1,0,11,"AUT.KPO"
"Austria",1953,1949,"FPO","FPO (VdU)",11,0,"VdU",NA,NA,NA,NA,1945,11.7,11.7,0,0,0,-0.699999999999999,11.7,1949,4,0,1,4,8,0.699999999999999,11.85,1818,"AUT","Verband der Unabhängigen","Federation of Independents",6.8,59,11,"parliament","1953-02-22",NA,12,165,67,560,2.75860782883523,2.48199471237123,3.5685156570331,1.08591972998753,0.366839643871953,"2012-10-15 12:08:21",1,0,0,0,0,0,0,0,0,0,0,"Verband der Unabhaengigen","right","Right-wing",NA,NA,NA,42420,NA,NA,204,NA,NA,NA,NA,40,"AUT.FPO",2.78035083801442,0,0,0,1,0,11,"AUT.FPO"
"Austria",1953,1949,"SPO","SPO",42.1,0,NA,NA,NA,NA,NA,1945,41.7,38.7,-3,-0.0719424460431655,0.0719424460431655,0.399999999999999,-5.9,1945,8,0,2,8,8,3.4,11.85,973,"AUT","Sozialdemokratische Partei Österreichs","Social Democratic Party of Austria",3.72926900584795,59,11,"parliament","1953-02-22",42.1,73,165,67,560,2.75860782883523,2.48199471237123,3.5685156570331,1.08591972998753,0.366839643871953,"2012-10-15 12:08:21",1,0,1,0,1,0,1,0,0,0,0,"Sozialdemokratische Partei Oesterreichs","soc","Social democracy",3.47276311021102,3.47657894736842,8.44947368588364,42320,11,1040320,202,308,1301,4865,1301,11,"AUT.SPO",2.78035083801442,0,0,0,1,0,11,"AUT.SPO"
